,代码,简称,今日涨跌幅（%）,今日换手率（%）,主力资金流量（万元）
125,301172,君逸数码,1.28,4.91,404.12
126,2515,金字火腿,1.04,2.7,408.17
127,300351,永贵电器,-1.89,10.57,511.58
128,300964,本川智能,-2.74,5.46,542.48
129,301251,威尔高,-5.11,13.36,595.6
130,2796,世嘉科技,0.0,10.64,752.42
131,301085,亚康股份,2.93,20.08,1107.27
132,688388,嘉元科技,-8.98,9.42,1160.85
133,688519,南亚新材,-0.64,2.03,1186.04
134,2475,立讯精密,-1.69,1.34,1831.26
135,688328,深科达,6.42,13.55,1886.35
136,688536,思瑞浦,-0.85,2.84,1933.25
137,300657,弘信电子,2.11,8.59,2354.85
138,688099,晶晨股份,-2.77,2.54,2875.49
139,300903,科翔股份,-3.52,14.99,5766.65
140,636,风华高科,-3.12,7.18,7516.79
141,688629,华丰科技,-4.6,13.89,7558.34
142,1267,汇绿生态,5.97,13.0,8388.82
143,603220,中贝通信,6.85,21.12,14102.8
144,2384,东山精密,2.92,6.52,20809.38
145,1309,德明利,3.28,11.49,45419.99
